material_type,durability_score,weight_capacity_kg,biodegradability_score,recyclability_percent,co2_emission_score,cost_per_unit_usd
Corrugated Board,5,17,7,79,4.91,0.87
Recycled PET,9,11,9,81,4.96,0.96
Honeycomb Paperboard,5,4,6,93,3.93,0.92
Mycelium Packaging,9,19,5,92,4.66,0.97
Cornstarch Packaging,8,7,7,68,2.6,0.97
Paper Foam,9,13,9,62,2.74,1.17
Corrugated Board,9,9,9,61,4.86,0.68
Paper Foam,9,4,8,63,2.41,1.1
Seaweed Packaging,7,18,9,75,2.57,0.42
Seaweed Packaging,9,14,6,92,3.26,0.63
Bamboo Fiber Packaging,6,17,7,68,3.77,0.44
Paper Foam,6,3,8,99,3.81,0.92
Seaweed Packaging,5,15,7,97,2.88,0.48
Cornstarch Packaging,7,8,7,77,4.76,1.08
Molded Pulp,5,15,6,75,4.75,0.92
Recycled Cardboard,6,5,9,67,3.18,0.42
Biodegradable Plastic,6,3,6,82,3.3,0.97
Kraft Paper,8,17,9,95,4.11,1.09
Paper Foam,9,15,8,62,3.99,0.93
Honeycomb Paperboard,6,7,6,74,3.15,0.42
Corrugated Board,5,15,6,97,3.24,1.09
Molded Pulp,5,7,5,92,3.04,0.99
Paper Foam,9,12,6,77,2.71,0.7
Molded Pulp,9,10,5,82,3.37,0.66
Recycled PET,8,17,9,62,4.06,0.78
Molded Pulp,7,6,9,89,4.23,1.09
Paper Foam,5,4,9,76,4.34,0.6
Recycled Paper Wrap,9,8,5,91,3.12,0.48
Bagasse Fiber,5,5,9,66,4.29,1.09
Honeycomb Paperboard,9,9,7,98,2.02,0.42
Biodegradable Plastic,6,12,6,73,3.43,1.13
Biodegradable Plastic,5,8,5,74,4.38,0.64
Honeycomb Paperboard,6,18,9,71,3.89,0.81
Recycled Paper Wrap,5,4,7,67,3.42,0.51
Mycelium Packaging,7,19,6,75,3.93,1.12
Seaweed Packaging,8,15,6,93,4.72,1
Biodegradable Plastic,6,3,9,83,3.7,1.14
Mycelium Packaging,9,8,7,88,4.4,0.95
Molded Pulp,7,7,5,75,4.94,0.55
Cornstarch Packaging,5,15,9,64,4.12,0.65
Corrugated Board,6,14,6,64,3.72,0.79
Recycled PET,5,9,6,89,2.11,0.89
Recycled Cardboard,5,17,6,64,3.12,1.14
Biodegradable Plastic,5,5,9,72,3.7,0.71
Honeycomb Paperboard,8,18,8,94,4.39,0.96
Cornstarch Packaging,8,3,8,84,3.31,1.17
Paper Foam,9,18,8,73,4.88,0.52
Bamboo Fiber Packaging,6,14,7,85,2.82,1.09
Bagasse Fiber,7,10,9,77,4.23,0.74
Honeycomb Paperboard,7,14,6,79,3.26,0.99
Seaweed Packaging,7,17,7,93,3.46,0.63
Bamboo Fiber Packaging,5,4,8,66,4.41,0.67
Bamboo Fiber Packaging,8,19,5,69,2.89,0.42
Molded Pulp,6,9,7,74,2.29,1.18
Bagasse Fiber,5,15,7,76,3.56,1.05
Corrugated Board,8,3,9,70,3.59,0.48
Corrugated Board,8,8,7,93,4.39,1.2
Recycled Paper Wrap,6,15,9,86,4.9,0.88
Mycelium Packaging,6,13,5,80,2.17,1.08
Kraft Paper,6,12,6,90,3.78,0.45
Bamboo Fiber Packaging,5,18,6,63,4.04,0.71
Recycled Paper Wrap,9,19,8,76,4.96,0.94
Seaweed Packaging,6,19,8,79,4.83,0.49
Mycelium Packaging,9,6,5,84,4.14,0.79
Recycled PET,5,7,6,99,3.57,0.75
Bamboo Fiber Packaging,9,16,8,82,2.48,0.57
Cornstarch Packaging,7,12,7,74,3.15,0.64
Bagasse Fiber,9,16,9,92,3.76,1.17
Kraft Paper,6,3,8,78,4.18,0.63
Paper Foam,5,13,5,74,3.91,0.57
Molded Pulp,6,18,6,64,4.14,0.83
Bagasse Fiber,7,10,5,75,3.29,0.94
Recycled Paper Wrap,6,12,9,91,4.18,0.98
Recycled Cardboard,6,12,9,81,2.43,1
PLA Bioplastic,6,7,5,91,2.49,0.43
Kraft Paper,8,12,8,72,2.49,0.72
Kraft Paper,7,8,8,97,4.67,1.02
Seaweed Packaging,6,5,6,85,2.23,1.12
Molded Pulp,6,10,6,76,4.4,0.88
Biodegradable Plastic,6,11,7,64,2.7,0.44
Corrugated Board,5,7,7,92,3.41,0.72
Corrugated Board,8,4,6,86,4.75,0.46
Recycled PET,5,4,7,64,3.76,1
Recycled Cardboard,8,9,5,96,2.63,0.45
Cornstarch Packaging,6,19,8,66,2.85,0.55
Seaweed Packaging,7,12,7,77,4.76,0.73
Cornstarch Packaging,9,14,7,90,3.28,0.77
Paper Foam,9,4,5,65,3.76,0.73
Mycelium Packaging,6,12,9,61,3.38,0.77
Bagasse Fiber,5,3,6,72,3.14,0.97
Recycled PET,7,6,5,70,2.67,0.7
Recycled PET,8,15,9,85,4.06,0.84
PLA Bioplastic,6,14,5,80,4.15,0.64
Honeycomb Paperboard,7,13,8,61,2.82,0.68
Biodegradable Plastic,7,12,5,99,4.37,0.89
Recycled Paper Wrap,8,17,5,79,4.56,0.79
Bamboo Fiber Packaging,7,7,8,76,4.76,0.98
Honeycomb Paperboard,5,19,6,75,2.48,0.85
Mycelium Packaging,5,7,9,64,2.91,1.04
Honeycomb Paperboard,5,4,7,73,4.58,0.75
Seaweed Packaging,7,11,6,83,2.6,0.79
Bamboo Fiber Packaging,5,8,5,63,2.01,0.94
Kraft Paper,8,16,7,83,4.61,0.58
Recycled Cardboard,7,16,8,68,2.98,0.71
Corrugated Board,9,10,6,62,3.24,0.9
Paper Foam,7,19,9,68,3.34,0.42
Cornstarch Packaging,8,5,6,77,4.54,0.75
PLA Bioplastic,9,12,6,95,3.01,0.88
Seaweed Packaging,7,19,7,78,4.68,1.17
Recycled Cardboard,5,13,8,83,3.85,1.1
Kraft Paper,6,10,8,63,3.58,0.62
Recycled Paper Wrap,6,3,6,68,2.98,0.81
Paper Foam,5,15,8,92,2.73,0.45
Seaweed Packaging,6,6,7,60,3.87,0.59
Kraft Paper,6,9,7,94,3.34,1.02
PLA Bioplastic,5,16,9,69,4.73,0.5
Corrugated Board,5,7,8,71,3.47,0.61
Recycled PET,7,13,9,77,3.54,1.16
Corrugated Board,7,19,5,73,3.25,1.06
Seaweed Packaging,5,7,7,69,4.37,1.03
Corrugated Board,8,5,6,69,3.27,1.09
Recycled Cardboard,6,7,7,77,2.81,1
Recycled Cardboard,7,17,5,83,4.59,0.5
Cornstarch Packaging,6,18,6,60,3.79,0.81
Seaweed Packaging,9,10,8,89,3.77,0.76
Cornstarch Packaging,5,15,8,74,3.83,0.65
Seaweed Packaging,8,18,7,67,4.16,1.07
Recycled PET,9,5,6,94,2.94,0.77
Recycled PET,9,3,6,77,2.1,0.45
Recycled Paper Wrap,9,11,9,75,4.43,0.62
Seaweed Packaging,5,11,5,80,2.39,0.58
PLA Bioplastic,7,19,8,74,4.17,1.11
Mycelium Packaging,5,4,7,64,2.25,0.92
Paper Foam,7,11,6,66,3.13,0.85
Molded Pulp,9,15,8,66,2.19,0.81
Bamboo Fiber Packaging,9,7,7,86,3.57,0.92
Molded Pulp,8,11,8,84,3.96,1
Kraft Paper,7,15,7,81,2.51,0.84
Recycled PET,9,3,8,72,3.11,1.15
Corrugated Board,6,17,9,76,4.79,1.18
Paper Foam,8,6,5,72,3.33,1.2
Honeycomb Paperboard,5,6,8,85,4.41,0.94
Mycelium Packaging,8,12,5,68,4.78,1.15
Recycled Cardboard,6,8,8,64,4.92,0.72
Bagasse Fiber,7,14,6,98,4.69,1.09
Biodegradable Plastic,5,18,9,92,2.95,1.13
Recycled Paper Wrap,5,5,9,63,4.89,1.12
Corrugated Board,7,16,5,87,4.44,1.06
Corrugated Board,8,3,6,85,4.51,0.73
PLA Bioplastic,9,12,7,63,2.05,0.53
Corrugated Board,8,17,9,75,4.86,0.67
Recycled Cardboard,6,9,6,96,4.33,1.01
Recycled Cardboard,9,6,6,81,4.3,0.59
Biodegradable Plastic,8,16,5,95,2.24,0.78
Bamboo Fiber Packaging,7,18,6,97,2.7,0.85
Seaweed Packaging,6,16,6,94,4.89,0.88
Honeycomb Paperboard,6,5,7,84,3.5,1.15
Paper Foam,6,19,5,67,3.19,0.93
Corrugated Board,9,16,5,76,4.52,1.03
Molded Pulp,5,5,6,77,2.26,0.87
Cornstarch Packaging,9,5,7,71,3.25,1.07
PLA Bioplastic,8,14,8,92,3.13,0.61
PLA Bioplastic,5,7,9,82,3.05,0.57
Bamboo Fiber Packaging,8,12,5,71,2.92,1.14
Molded Pulp,5,11,7,70,2.63,0.95
Kraft Paper,9,3,7,72,2.52,0.94
Molded Pulp,6,15,6,94,3.92,0.77
Mycelium Packaging,7,5,9,86,4.76,0.7
Kraft Paper,6,13,5,84,3.53,0.84
Bagasse Fiber,9,18,8,99,2.89,0.5
Recycled PET,5,8,6,62,2.48,0.76
Cornstarch Packaging,6,5,5,84,4.49,0.76
Recycled PET,9,8,5,69,4.91,0.83
PLA Bioplastic,8,10,7,76,3.05,0.91
Molded Pulp,7,15,9,62,2.87,1.17
Bagasse Fiber,6,14,8,81,3.8,0.92
Seaweed Packaging,5,12,9,97,4.33,1.11
Recycled Paper Wrap,8,5,7,73,3.37,0.85
Paper Foam,9,6,8,86,3.89,0.9
Bagasse Fiber,7,3,8,79,4.15,0.46
Bamboo Fiber Packaging,5,15,6,77,4.88,0.51
Mycelium Packaging,9,6,8,72,2.5,0.86
Paper Foam,9,13,5,65,4.99,0.72
Molded Pulp,6,13,9,69,3.18,1.04
Honeycomb Paperboard,6,14,9,96,4.17,0.83
Seaweed Packaging,5,13,6,88,3.72,1.11
Bagasse Fiber,9,8,8,65,3.46,1.18
Cornstarch Packaging,6,14,7,98,4.09,0.52
Molded Pulp,7,11,5,70,3.19,0.72
Corrugated Board,7,12,6,84,2.38,0.93
Recycled Cardboard,9,5,8,89,3.47,0.64
Bagasse Fiber,6,5,7,79,3.57,0.61
Cornstarch Packaging,5,18,8,96,2.61,1.05
Mycelium Packaging,5,5,6,75,4.81,1.18
Recycled Paper Wrap,5,12,7,90,2.68,1.02
Corrugated Board,7,13,7,88,3.23,0.82
Recycled PET,6,10,7,65,2.46,0.75
Recycled Paper Wrap,6,8,7,88,3.61,0.83
Recycled PET,7,13,8,91,2.92,0.77
Molded Pulp,5,14,7,68,3.47,0.8
Recycled Cardboard,5,18,8,96,2.67,0.56
Bagasse Fiber,9,15,7,82,2.16,1.12
Bagasse Fiber,8,5,7,75,4.34,1
Honeycomb Paperboard,6,17,6,77,3.92,0.94
PLA Bioplastic,6,16,8,78,3.02,1.16
Honeycomb Paperboard,6,16,8,61,2.14,0.63
Bamboo Fiber Packaging,8,7,9,69,4.6,0.46
Molded Pulp,9,16,6,71,2.51,1.06
Molded Pulp,8,10,8,77,4.79,1.2
Recycled Cardboard,5,17,6,78,3.44,0.86
Honeycomb Paperboard,5,17,6,97,3.02,0.45
Cornstarch Packaging,6,8,6,96,4.23,1.02
Recycled PET,7,10,5,86,4.63,0.46
Cornstarch Packaging,6,8,8,73,3.11,0.83
Recycled Cardboard,7,17,6,93,3.22,0.62
Seaweed Packaging,8,5,5,61,3.3,1.13
PLA Bioplastic,5,12,5,92,4.77,0.76
Cornstarch Packaging,7,17,7,78,4.08,1.12
Kraft Paper,8,18,7,86,2.74,0.64
Bamboo Fiber Packaging,5,19,8,89,2.55,0.71
Paper Foam,7,13,7,66,2.69,1.16
Recycled Cardboard,6,18,8,86,2.79,0.56
Recycled Cardboard,6,7,5,80,2.69,0.86
Biodegradable Plastic,6,7,5,66,3.98,0.71
Recycled PET,8,16,8,84,2.35,1.02
Bamboo Fiber Packaging,6,10,7,97,3.16,0.5
Corrugated Board,9,7,7,77,3.88,0.75
Corrugated Board,5,9,8,92,2.87,0.96
Kraft Paper,8,18,9,92,2.2,0.73
Honeycomb Paperboard,6,16,7,91,2.25,0.45
Bamboo Fiber Packaging,5,7,6,84,2.38,0.96
Seaweed Packaging,7,11,7,73,4.51,0.8
Molded Pulp,6,6,9,97,3.97,0.41
Molded Pulp,5,6,5,97,2.19,0.89
Recycled Paper Wrap,9,18,5,63,3.17,1.14
Recycled PET,7,19,5,77,2.84,0.49
Kraft Paper,9,17,7,69,3.73,0.87
Recycled Cardboard,5,6,5,94,3.57,0.98
Kraft Paper,9,8,9,94,3.44,0.46
Kraft Paper,5,18,9,99,2.94,0.42
Mycelium Packaging,5,6,7,82,2.41,0.77
Kraft Paper,9,8,6,84,4.23,1.03
Corrugated Board,5,7,7,60,4.64,0.53
Mycelium Packaging,6,18,5,77,4.83,1.07
Recycled PET,5,18,7,74,2.18,0.93
Kraft Paper,8,12,9,84,4.22,0.67
PLA Bioplastic,5,11,7,91,4.18,0.81
Paper Foam,8,6,7,79,4.84,1.17
Molded Pulp,5,16,6,76,2.76,0.57
Mycelium Packaging,5,6,9,70,4.23,0.8
Recycled Paper Wrap,9,14,8,72,2.16,0.9
Bamboo Fiber Packaging,6,12,8,84,3.89,0.51
Paper Foam,6,6,9,79,3.05,0.43
Recycled Paper Wrap,7,15,8,84,4.31,0.41
Biodegradable Plastic,9,15,5,90,4.59,0.66
Recycled Paper Wrap,9,16,8,60,3.09,0.46
Molded Pulp,6,3,5,75,3.58,1.04
Molded Pulp,9,18,9,87,2.35,1.2
Mycelium Packaging,6,17,8,80,3.25,0.45
Kraft Paper,9,7,8,89,3.08,0.75
Bagasse Fiber,5,8,5,62,2.55,0.42
Biodegradable Plastic,6,8,5,93,4.68,0.51
Mycelium Packaging,6,5,7,65,2.44,0.66
PLA Bioplastic,8,18,6,88,3.91,0.71
Recycled Cardboard,9,14,8,62,4.67,1.15
Cornstarch Packaging,9,6,6,92,4.74,0.72
Bamboo Fiber Packaging,6,3,6,70,4.38,0.8
Recycled Paper Wrap,5,6,8,64,2.53,0.6
Bagasse Fiber,5,3,5,91,4.45,0.4
Kraft Paper,5,10,7,77,2.83,1.12
Corrugated Board,9,7,9,79,4.77,0.47
Recycled PET,8,4,8,98,4.13,1.17
Recycled Cardboard,6,14,8,99,4.36,0.5
Seaweed Packaging,7,19,9,87,2.26,0.88
Honeycomb Paperboard,8,9,6,72,3.75,1.2
Bagasse Fiber,7,13,7,85,4.46,0.51
Recycled PET,8,6,6,75,4.58,0.74
Corrugated Board,5,7,9,84,2.09,1.02
Biodegradable Plastic,9,8,9,69,4.82,0.43
Seaweed Packaging,7,13,7,88,2.13,0.95
Mycelium Packaging,8,3,9,97,3.84,0.46
Kraft Paper,9,12,9,79,4.08,0.59
Recycled Cardboard,7,13,7,85,2.32,0.53
Recycled Cardboard,6,19,8,91,2.14,1.13
Recycled Cardboard,8,10,6,98,4.35,0.54
Biodegradable Plastic,6,15,8,97,3.15,0.43
Seaweed Packaging,5,18,8,83,2.32,0.87
Recycled Paper Wrap,6,4,6,90,4.29,0.68
Honeycomb Paperboard,6,7,8,99,4.55,0.72
PLA Bioplastic,8,5,7,71,3.76,0.5
Biodegradable Plastic,5,19,6,95,2.48,1
Cornstarch Packaging,6,18,5,69,2.05,0.88
Bamboo Fiber Packaging,9,8,8,65,4.1,0.69
Bamboo Fiber Packaging,7,9,9,66,3.65,0.54
Honeycomb Paperboard,6,16,6,90,3.95,0.87
Molded Pulp,5,8,5,86,4.44,1.02
Bamboo Fiber Packaging,6,10,9,67,3.3,0.65
Kraft Paper,7,17,5,62,2.37,0.42
Biodegradable Plastic,5,17,8,99,4.82,0.57
Corrugated Board,8,17,9,80,3.64,0.95
Honeycomb Paperboard,5,18,8,60,3.85,1.19
Cornstarch Packaging,8,3,9,74,4.8,0.41
Molded Pulp,5,13,6,66,4.79,0.64
Recycled Paper Wrap,7,7,7,74,3.72,0.45
Seaweed Packaging,7,7,7,84,2.89,0.65
Corrugated Board,5,8,5,62,4.99,0.72
Mycelium Packaging,6,4,9,89,4.04,1.14
Honeycomb Paperboard,7,8,8,73,3.23,0.46
Kraft Paper,8,16,6,63,3.68,1.02
Seaweed Packaging,8,13,6,95,3.25,0.72
Corrugated Board,9,6,6,62,4.66,1.05
Molded Pulp,8,11,7,64,3.45,0.81
Corrugated Board,9,5,8,84,4.47,0.43
Recycled PET,5,18,6,90,4.52,1.16
Seaweed Packaging,5,13,6,70,4.47,0.47
Paper Foam,5,6,5,67,4.17,0.88
Recycled PET,6,3,9,85,4.56,1.1
PLA Bioplastic,6,18,9,61,3.16,0.46
Bagasse Fiber,9,18,9,87,2.34,0.84
Recycled Paper Wrap,8,13,5,69,4.53,1.06
Bamboo Fiber Packaging,8,10,7,98,3.49,1.19
Molded Pulp,5,3,5,96,2.38,0.98
Seaweed Packaging,7,11,6,98,2.35,0.62
PLA Bioplastic,6,14,8,80,2.48,0.96
PLA Bioplastic,6,10,6,87,4.25,0.96
Mycelium Packaging,5,19,6,97,4.13,0.96
Corrugated Board,6,12,8,92,2.61,1.08
Bagasse Fiber,5,9,9,70,4.54,0.47
PLA Bioplastic,9,8,5,60,2.84,0.49
Bagasse Fiber,8,17,7,92,4.38,0.91
Recycled PET,7,4,6,62,3.47,1.16
Corrugated Board,8,16,6,85,4.19,0.77
Seaweed Packaging,8,12,7,74,3.14,1.17
Recycled PET,9,18,5,73,3.04,1.15
Kraft Paper,6,9,6,82,4.52,1.12
Paper Foam,7,10,7,67,2.11,1.13
PLA Bioplastic,6,12,6,95,4.92,1.12
Biodegradable Plastic,8,17,9,79,3.94,1.06
Recycled PET,5,10,9,65,3.3,0.96
Paper Foam,8,15,6,92,3.88,0.42
Corrugated Board,6,14,6,87,2.37,0.51
Mycelium Packaging,8,10,9,97,3.54,0.51
Recycled Paper Wrap,5,17,6,89,4.96,0.42
Biodegradable Plastic,9,14,5,76,2.71,0.49
Molded Pulp,6,13,5,68,4.17,1.14
Bamboo Fiber Packaging,8,16,8,87,3.3,0.93
Mycelium Packaging,6,15,5,66,3.96,0.65
Paper Foam,9,6,6,87,2.61,1.03
Corrugated Board,8,19,6,76,3.41,0.79
Paper Foam,8,11,7,99,4.94,0.51
Bamboo Fiber Packaging,6,9,5,64,2.59,1.11
PLA Bioplastic,6,3,9,64,3.91,0.67
Mycelium Packaging,5,9,9,73,3.73,0.96
Recycled PET,9,9,8,65,3.7,0.63
Seaweed Packaging,5,9,7,66,3.85,0.8
Biodegradable Plastic,8,10,9,76,3.51,1.05
Cornstarch Packaging,6,18,8,68,2.05,0.53
Honeycomb Paperboard,8,5,5,90,4.7,1.18
Paper Foam,8,15,7,81,4.48,0.46
Bamboo Fiber Packaging,7,12,7,68,2.52,0.83
Molded Pulp,7,9,6,75,3.24,1.13
Molded Pulp,8,7,5,95,4.31,1.16
Recycled Cardboard,6,9,7,93,4.94,0.59
Mycelium Packaging,8,19,8,72,4.85,0.52
Paper Foam,7,6,9,78,4.7,0.98
Honeycomb Paperboard,6,18,5,71,2.48,0.43
Kraft Paper,8,12,5,95,4.74,0.79
Bamboo Fiber Packaging,9,5,7,69,4.64,1.04
PLA Bioplastic,9,5,7,75,3.13,0.85
Bagasse Fiber,8,19,7,87,3.18,0.55
Recycled PET,6,12,8,78,3.38,0.79
Seaweed Packaging,8,19,6,99,3.97,1.14
Honeycomb Paperboard,8,19,7,65,2.78,0.89
Bagasse Fiber,7,6,6,63,2.07,0.98
Mycelium Packaging,9,8,6,89,2.42,0.67
Recycled PET,7,14,5,98,3.32,0.55
Bagasse Fiber,7,19,9,90,2.85,0.6
Recycled PET,8,19,9,86,4.29,0.83
Cornstarch Packaging,7,12,8,80,2.32,0.62
Recycled Cardboard,9,9,8,96,4.75,0.83
Honeycomb Paperboard,7,18,9,68,4.69,0.97
Mycelium Packaging,9,15,9,94,4.73,0.99
Honeycomb Paperboard,7,5,5,80,4.22,0.53
Cornstarch Packaging,9,4,5,76,2.32,1
Paper Foam,7,18,9,83,3.31,0.94
Paper Foam,7,8,7,90,2.39,0.41
Paper Foam,6,8,7,65,4.96,0.45
Recycled Paper Wrap,9,15,5,94,3,0.92
Bagasse Fiber,9,9,6,96,3.76,0.71
Recycled Paper Wrap,9,7,9,72,4.34,0.52
Recycled Cardboard,5,9,8,84,4.76,0.44
Seaweed Packaging,7,4,7,91,4.27,0.53
Cornstarch Packaging,9,19,6,60,4.02,1.17
Mycelium Packaging,5,15,7,94,3.4,0.98
Honeycomb Paperboard,6,18,6,78,3.82,0.82
Recycled PET,9,4,9,71,2.28,1.15
PLA Bioplastic,9,7,9,99,4.65,0.9
Mycelium Packaging,5,9,9,99,3.63,0.98
Bagasse Fiber,7,13,5,79,2.12,0.63
Recycled Paper Wrap,6,13,6,92,4.76,0.87
Recycled Paper Wrap,9,19,8,88,3.47,0.51
Corrugated Board,7,18,8,75,4.61,0.72
Recycled Paper Wrap,6,15,9,73,4.57,0.43
Seaweed Packaging,8,7,8,66,4.45,0.57
Kraft Paper,8,18,7,65,2.18,0.46
Honeycomb Paperboard,6,18,6,80,2.74,0.71
Kraft Paper,5,18,6,95,4.63,1.07
Recycled PET,6,16,6,81,4.7,0.7
Honeycomb Paperboard,6,8,7,99,3.37,1.07
Cornstarch Packaging,5,4,5,78,3.32,0.93
Honeycomb Paperboard,5,16,7,84,2.53,0.81
Kraft Paper,7,18,6,62,4.91,0.59
Mycelium Packaging,7,15,6,95,2.64,1.14
Honeycomb Paperboard,5,17,6,93,2.57,0.44
Cornstarch Packaging,8,14,8,70,3.98,0.95
Cornstarch Packaging,8,11,5,86,2.73,0.9
Recycled Cardboard,6,16,7,61,4.82,0.75
Honeycomb Paperboard,9,6,6,65,2.03,0.59
PLA Bioplastic,6,10,9,61,2.02,0.74
Corrugated Board,6,10,5,76,3.51,1.1
Paper Foam,9,18,9,99,3.46,1.07
Molded Pulp,5,12,5,73,2.49,1.15
Cornstarch Packaging,8,19,6,69,3.48,0.65
Biodegradable Plastic,6,3,5,92,3.23,0.71
Paper Foam,9,12,5,71,4.67,0.41
Seaweed Packaging,7,6,6,91,2.03,1.15
Bagasse Fiber,6,3,9,83,4.93,0.66
Honeycomb Paperboard,8,6,9,73,3.87,0.72
Kraft Paper,5,6,8,64,2.46,1.13
Molded Pulp,6,6,9,64,2.14,0.82
Biodegradable Plastic,6,19,9,91,3.61,0.85
Paper Foam,9,11,5,92,2.7,0.54
Honeycomb Paperboard,7,15,8,63,2.9,0.8
Recycled Cardboard,7,6,6,89,2.74,1.13
Bagasse Fiber,5,7,6,76,3.95,0.85
Molded Pulp,8,15,7,62,3.66,0.6
Corrugated Board,5,18,8,72,2.23,0.42
Recycled PET,6,7,5,95,3.58,0.67
Recycled Cardboard,6,10,7,77,4.37,0.86
Biodegradable Plastic,7,18,7,82,2.24,0.43
Seaweed Packaging,8,3,6,94,4.67,0.89
Molded Pulp,9,8,9,92,3.73,0.82
Recycled Cardboard,8,13,5,95,4.85,1.03
Bagasse Fiber,6,18,8,76,2.44,0.42
Corrugated Board,9,7,7,98,4.98,1.02
Recycled Cardboard,8,18,5,93,3.93,0.82
Recycled Paper Wrap,8,9,6,71,3.7,0.7
Corrugated Board,9,3,7,64,3.55,1.17
Recycled PET,6,11,7,99,2.07,0.53
Biodegradable Plastic,8,15,6,86,4.82,0.83
Seaweed Packaging,9,17,6,99,3.93,0.66
Bagasse Fiber,6,5,6,72,2.27,0.82
PLA Bioplastic,9,12,5,85,2.06,0.84
Honeycomb Paperboard,9,11,5,73,2.15,0.47
Kraft Paper,8,15,5,91,3.83,0.93
Bamboo Fiber Packaging,6,18,9,70,3.84,0.91
Mycelium Packaging,8,5,7,97,3.5,1.02
Mycelium Packaging,5,17,5,75,2.92,0.47
Kraft Paper,5,19,9,81,3.6,0.64
Bamboo Fiber Packaging,6,16,7,75,3.55,0.92
Kraft Paper,9,9,5,72,2.06,0.51
Molded Pulp,8,18,6,71,2.85,0.94
Biodegradable Plastic,8,10,8,77,2.16,0.45
Bagasse Fiber,6,6,5,88,4.7,0.67
Corrugated Board,6,17,8,77,4.18,1.08
Molded Pulp,5,7,5,61,4.99,1.02
Biodegradable Plastic,7,15,6,61,2.91,0.92
Honeycomb Paperboard,6,8,8,62,4.64,1.1
Recycled Paper Wrap,7,7,9,88,3.81,0.97
Mycelium Packaging,6,19,6,67,3.36,0.82
Bagasse Fiber,9,9,8,70,2.67,1.18
Kraft Paper,9,8,8,71,4.22,0.96
Recycled Cardboard,5,4,6,91,4.71,0.88
PLA Bioplastic,5,13,6,63,2.71,0.73
Bagasse Fiber,7,9,6,68,2.53,1.12
Cornstarch Packaging,6,10,7,83,4.09,0.64
Seaweed Packaging,8,7,9,75,4.93,0.41
Bamboo Fiber Packaging,5,18,5,76,4.25,0.56
Biodegradable Plastic,8,16,8,81,2.85,0.49
Paper Foam,8,14,5,66,3.26,0.66
Honeycomb Paperboard,6,19,6,69,3.15,1.06
Recycled Paper Wrap,7,7,9,88,4.56,0.92
Honeycomb Paperboard,6,16,9,95,4.31,0.54
Bagasse Fiber,5,8,7,83,3.77,1.03
Mycelium Packaging,8,17,6,73,2.82,0.8
Bamboo Fiber Packaging,6,9,8,73,4.81,0.81
Paper Foam,6,16,7,84,3.96,0.69
Cornstarch Packaging,6,3,6,81,4.91,1.09
Corrugated Board,5,8,7,82,3.74,0.65
Recycled Cardboard,7,5,5,91,4.46,0.48
Paper Foam,6,7,6,85,4.44,0.64
Biodegradable Plastic,5,14,8,86,3.01,0.97
Kraft Paper,8,13,8,71,4.89,0.93
Cornstarch Packaging,9,15,6,78,2.07,0.55
Recycled Cardboard,5,18,7,78,4.31,0.49
PLA Bioplastic,9,19,9,93,4.9,0.93
Recycled Paper Wrap,6,19,6,91,3.02,0.94
Kraft Paper,6,13,8,88,3.94,0.69
Bagasse Fiber,5,12,5,80,3.69,1.07
Paper Foam,9,18,8,94,4.28,1.18
Mycelium Packaging,6,4,9,64,4.6,0.56
Recycled Cardboard,8,19,8,71,3.81,0.86
Seaweed Packaging,7,12,9,66,4.45,0.4
Molded Pulp,7,15,6,61,2.94,0.97
Seaweed Packaging,6,14,8,84,2.69,0.73
Corrugated Board,9,17,7,69,3.29,0.55
Seaweed Packaging,6,9,7,97,4.03,1
PLA Bioplastic,9,15,8,65,2.56,1.05
Corrugated Board,8,14,8,86,4.04,0.49
Cornstarch Packaging,9,14,5,94,3.18,0.43
Recycled Paper Wrap,6,4,8,69,4.39,0.67
Cornstarch Packaging,8,7,5,68,2.11,0.9
Molded Pulp,5,4,5,79,4,1.03
Biodegradable Plastic,7,15,5,96,3.95,0.84
Recycled Paper Wrap,6,5,5,94,4.82,0.86
Seaweed Packaging,6,13,6,96,4.14,1.04
Mycelium Packaging,6,18,7,99,4.39,0.82
Honeycomb Paperboard,8,3,5,67,4.71,0.89
Biodegradable Plastic,5,13,7,90,4.03,0.81
Recycled Paper Wrap,9,11,5,75,2.87,1.1
Recycled Paper Wrap,5,16,7,87,4.61,0.59
Molded Pulp,8,11,8,65,4.24,0.61
Bagasse Fiber,6,9,8,91,3.27,0.5
Seaweed Packaging,7,18,7,87,4.13,1.06
Molded Pulp,6,5,5,70,4.6,0.73
Recycled Paper Wrap,9,6,6,82,4.93,0.68
Recycled Cardboard,7,9,7,89,4.86,1.19
Biodegradable Plastic,6,14,9,68,2.98,1.14
Molded Pulp,7,7,6,87,3.27,1.18
Bagasse Fiber,5,12,9,83,2.33,0.51
Bamboo Fiber Packaging,8,14,7,87,2.74,1.11
Paper Foam,6,10,5,83,4.65,0.66
Cornstarch Packaging,9,17,9,74,3.08,0.41
Recycled Paper Wrap,5,3,7,98,3.86,0.71
Seaweed Packaging,6,5,6,92,4,0.81
Honeycomb Paperboard,5,4,5,93,4.35,0.49
Paper Foam,9,7,9,81,2.55,0.83
Corrugated Board,6,3,7,88,2.91,1.06
Mycelium Packaging,9,12,5,93,3.35,0.7
Mycelium Packaging,7,12,5,69,3.09,0.68
Recycled PET,9,7,8,89,4.95,0.67
